Page,Returning Visitor,New Visitor,Total Visitors,% Returning Visitor,Unique page views,Time on page (min),Bounce rate
Desinfectantes: nuevo riesgo para la salud humana y ambiental,29,201,230,"0,126",235,"1,92","90,00 %"
"Día internacional de la Madre Tierra, en un contexto que dejará de ser único",09,46,55,"0,164",57,"0,78","70,00 %"
"Día mundial del agua: El pulmón del planeta, contaminado",143,883,1026,"0,139",1046,"1,45","66,44 %"
Disney: diversión sostenible,49,241,290,"0,169",338,"4,05","93,26 %"
Duras críticas a la Cumbre del Clima,06,37,43,"0,140",43,"1,68","0,00 %"
Economía circular y descarbonización: las metas para España 2050,23,80,103,"0,223",115,"2,20","45,00 %"
Educación ambiental: la asignatura pendiente de las escuelas,23,212,235,"0,098",246,"1,77","95,00 %"
El 2020 también podría ser el año más cálido registrado,11,46,57,"0,193",57,"1,62","33,33 %"
El ABC del reciclaje,09,132,141,"0,064",143,"1,73","82,61 %"
El agua gratis en España no es una posibilidad,17,92,109,"0,156",109,"0,88","0,00 %"
El arte de emprender sano,37,232,269,"0,138",281,"1,92","82,14 %"
El calentamiento global en España se acelera,20,132,152,"0,132",158,"2,15","64,29 %"
El coronavirus trae beneficios ambientales significativos,40,318,358,"0,112",361,"2,90","83,25 %"
El hundimiento del barco X-Pearl causa un desastre ecológico en Sri Lanka,26,129,155,"0,168",172,"1,52","76,92 %"
"El pulmón del planeta, contaminado",29,100,129,"0,225",140,"2,83","50,00 %"
El suelo y la planta son un conjunto,09,37,46,"0,196",49,"3,57","100,00 %"
El teletrabajo reduce la contaminación,17,09,26,"0,654",29,"1,17","100,00 %"
El volcán de La Palma deja a la isla calcinada,32,118,150,"0,213",149,"2,33","88,46 %"
Emprender sostenible en primera persona,23,43,66,"0,348",72,"2,02","42,86 %"
"En el Día Mundial del Medio Ambiente, ¿Qué vas a restaurar?",14,135,149,"0,094",152,"0,83","64,29 %"
Endulzar natural y sin calorías,23,192,215,"0,107",224,"2,70","54,05 %"
"Energía positiva, fuente de inversión hotelera",26,135,161,"0,161",183,"1,80","80,43 %"
Entra en vigor el nuevo etiquetado energético,11,34,45,"0,244",49,"1,05","100,00 %"
España en alerta por tsunamis,09,57,66,"0,136",72,"2,25","82,35 %"
España ya tiene nombres para las nuevas borrascas,26,1089,1115,"0,023",1124,"1,67","92,74 %"
Esto no es un simulacro: estamos en crisis climática y ecológica,32,106,138,"0,232",172,"3,17","72,17 %"
Frutas de estación; ¿Cuáles son y por qué consumirlas?,63,295,358,"0,176",370,"2,52","59,72 %"
"Fútbol ecológico y vegano, el primer equipo en el mundo",63,341,404,"0,156",413,"1,33","72,22 %"
Granola: ¿Buena para la salud?,40,183,223,"0,179",232,"2,92","65,00 %"
Hawaii y Tailandia protegen los arrecifes de coral de protectores solares contaminantes,14,83,97,"0,144",112,"1,87","73,91 %"
"Holanda y Dinamarca están a la cabeza en políticas de reciclaje, España los sigue",09,106,115,"0,078",120,"1,82","100,00 %"
Huerto urbano casero: las 5W de cultivar en casa,37,172,209,"0,177",212,"1,85","70,00 %"
Incendios en el mediterráneo: ¿La nueva normalidad?,03,00,03,"1,000",03,"0,00","0,00 %"
Inodoro ecológico: de excrementos humanos a energía,20,135,155,"0,129",163,"2,38","71,88 %"
Kawah Ijen: El asombroso volcán de lava azul,09,20,29,"0,310",32,"0,33","100,00 %"
La batería de diamante radiactiva que dura 28.000 años,03,09,12,"0,250",11,"0,15","0,00 %"
La contaminación produce mayor mortalidad por Covid 19 y la destrucción de los ecosistemas deja lugar a nuevas pandemias,20,37,57,"0,351",57,"3,37","0,00 %"
La crisis climática y ecológica también es una crisis de salud,17,126,143,"0,119",161,"3,47","77,53 %"
La crisis como oportunidad para reinventarnos modo verde,17,89,106,"0,160",109,"2,37","52,94 %"
La crisis medioambiental se hace notar en el World Press Photo,29,126,155,"0,187",155,"0,85","82,35 %"
La economía creativa reconoce a la cultura y sostenibilidad como bien esencial,29,118,147,"0,197",146,"0,63","81,82 %"
La economía del renting,17,118,135,"0,126",135,"0,82","78,57 %"
La esperanza viene del pueblo según Greta Thunberg,11,29,40,"0,275",40,"2,23","64,29 %"
La fórmula de la juventud sí que existe,1215,11456,12671,"0,096",14460,"2,08","95,38 %"
La lava llega al mar,20,221,241,"0,083",246,"1,82","81,82 %"
La mitad de las playas del mundo desaparecerán si no se reducen las emisiones de gases de efecto invernadero,32,72,104,"0,308",103,"2,20","54,55 %"
La omnipresencia del plástico amenaza al planeta,797,21711,22508,"0,035",22766,"2,20","95,14 %"
La tendencia digital de apilar piedras resulta peligroso para el medio ambiente,20,120,140,"0,143",140,"2,27","100,00 %"
La UE aprueba el gusano de harina como alimento,29,209,238,"0,122",241,"1,67","81,82 %"
La verdad de la milanesa (de soja),37,332,369,"0,100",370,"2,40","95,35 %"
Las futuras pandemias se podrían evitar según los expertos,34,198,232,"0,147",241,"2,12","67,65 %"
Las nuevas formas de transporte brindan beneficios medioambientales,17,40,57,"0,298",66,"3,40","64,71 %"
Las pitones birmanas devoran Florida,34,146,180,"0,189",195,"1,83","68,97 %"
Las playas del litoral catalán pierden terreno,20,115,135,"0,148",138,"2,17","88,46 %"
"Libre de Aceite de Palma: sus usos, controversias e impactos",60,370,430,"0,140",456,"3,57","81,05 %"
Líderes de la UE prometen considerar el clima en los planes de recuperación,11,49,60,"0,183",69,"1,03","50,00 %"
Llega a Barcelona el primer sistema de recogida de residuos puerta a puerta de bolsas con chip,11,106,117,"0,094",126,"2,23","68,97 %"
Llegó a España el primer camión eléctrico para reparto urbano,32,189,221,"0,145",238,"1,68","42,86 %"
Llueve en Groenlandia en su punto más alto,23,100,123,"0,187",129,"1,67","82,35 %"
Los 5 países más contaminantes del mundo,49,140,189,"0,259",238,"2,12","85,71 %"
Los incendios arrasan en el mediterráneo,20,52,72,"0,278",80,"4,10","70,00 %"
Los libros digitales no son tan ecológicos como creemos,83,410,493,"0,168",513,"2,13","62,26 %"
Los mejores safaris ecofriendly,14,60,74,"0,189",75,"1,05","100,00 %"
"Más ganado, mayor deforestación",32,172,204,"0,157",212,"2,32","76,47 %"
Más medidas de desinfección de alimentos en casa,09,37,46,"0,196",46,"3,37","100,00 %"
Más promesas y pocas respuestas políticas en torno a la emergencia climática,11,29,40,"0,275",43,"0,78","54,55 %"
Mascarillas faciales naturales in house,37,166,203,"0,182",203,"2,40","86,49 %"
